key,value,ar,zh,ja,pt,ru,es,th,tr,vi,in
village,Village,قرية,村,村,Vila,Деревня,Pueblo,หมู่บ้าน,Köy,Làng,Desa
action,Action,عمل,行动,アクション,Açao,действие,Acción,หนังบู๊,Aksiyon,Hoạt động,Tindakan
bygone,Bygone,منصرم,往事,過ぎ去った,Passado,пережитый,Pasado,ล่วงไปแล้ว,Geçmiş,Đã qua,Dahulu
joy,Joy,الفرح,喜悦,喜び,Alegria,Радость,Alegría,ความปิติยินดี,Sevinç,Vui sướng,Kegembiraan
pop_seven,Pop Seven,البوب سيفين,流行七,ポップセブン,Pop Seven,Поп семерка,Pop Seven,ป๊อปเซเว่น,Yedi Pop,Pop Bảy,Pop Seven
adventure,Adventure,مغامرة,冒险,冒険,Aventura,Приключение,Aventuras,การผจญภัย,Macera,Cuộc phiêu lưu,Petualangan
september,September,سبتمبر,九月,九月,setembro,сентябрь,septiembre,กันยายน,Eylül,Tháng Chín,September
pop,Pop,موسيقى البوب,流行音乐,ポップ,Pop,Поп,Popular,ป๊อปอัพ,Pop,Nhạc pop,Pop
pan,Pan,مقلاة,泛,パン,Pan,Сковорода,Pan,กระทะ,Tava,Pan,Panci
desire,Desire,رغبة,欲望,欲望,Desejo,Желание,Deseo,ความต้องการ,Arzu,Khao khát,Keinginan
bright,Bright,مشرق,亮,明るい,Brilhante,яркий,Brillante,สดใส,Parlak,Sáng,Terang
halloween,Halloween,عيد الرعب,万圣节,ハロウィン,dia das Bruxas,Хэллоуин,Víspera de Todos los Santos,วันฮาโลวีน,cadılar bayramı,Halloween,Halloween
witch,Witch,ساحرة,巫婆,魔女,Bruxa,колдунья,Bruja,แม่มด,Cadı,Phù thủy,Penyihir
midnight,Midnight,منتصف الليل,午夜,真夜中,Meia-noite,полуночный,Medianoche,เที่ยงคืน,Gece yarısı,Nửa đêm,Tengah malam
goblin,Goblin,عفريت,小妖精,ゴブリン,Goblin,гоблин,Duende,ผี,cin,Yêu tinh,Goblin
ghostly,Ghostly,شبحي,幽灵般,幽霊,Espectral,призрачный,Fantasmal,น่ากลัว,hayalet gibi,Ma quái,Remang
supernatural,Supernatural,خارق للعادة,超自然,超自然的,Sobrenatural,Сверхъестественное,Sobrenatural,เหนือธรรมชาติ,Doğaüstü,Siêu nhiên,Gaib
strange,Strange,غريب,奇怪,奇妙な,Estranho,Странный,Extraño,แปลก,Garip,Lạ,Aneh
vampire,Vampire,مصاص دماء,吸血鬼,吸血鬼,Vampiro,вампир,Vampiro,แทตย์,Vampir,Ma cà rồng,Vampir
haunt,Haunt,تطارد,出没,出没,Assombro,Haunt,Guarida,หลอกหลอน,Uğrak,Ám ảnh,Menghantui
shadow,Shadow,ظل,阴影,影,Sombra,Тень,Sombra,เงา,Gölge,Bóng,Bayangan
costume,Costume,زي,服装,コスチューム,Traje,Костюм,Disfraz,ชุดแต่งกาย,Kostüm,Trang phục,Kostum
new_year,New Year,سنه جديده,新年,新年,Ano Novo,Новый год,Año nuevo,ปีใหม่,Yeni yıl,Năm mới,Tahun baru
graduation,Graduation,تخرج,毕业,卒業,Graduação,градация,Graduación,การสำเร็จการศึกษา,Mezuniyet,Tốt nghiệp,Wisuda
dancing,Dancing,الرقص,跳舞,ダンシング,Dançando,танцы,Bailando,การเต้นรำ,Dans,Khiêu vũ,Tarian
cosplay,Cosplay,التنكر,角色扮演,コスプレ,Cosplay,Косплей,Cosplay,คอสเพลย์,Kostüm oyunu,Cosplay,Cosplay
pyjamas,Pyjamas,لباس نوم,睡衣,パジャマ,Pijamas,пижама,Pijama,เสื้อกางเกงนอน,Pijama,Bộ đồ ngủ,Piyama
beach,Beach,شاطئ بحر,海滩,ビーチ,de praia,пляж,playa,ชายหาด,plaj,bờ biển,Pantai
farewell,Farewell,توديع - فراق,告别,別れ,Despedida,Прощальный привет,Despedida,การอำลา,Veda,Từ biệt,Pamitan
welcome,Welcome,أهلا بك,欢迎,ようこそ,Bem-vinda,желанный,Bienvenidos,ยินดีต้อนรับ,Hoşgeldiniz,Chào mừng bạn,Selamat datang
club,Club,النادي,俱乐部,クラブ,Clube,Клуб,Club,สโมสร,kulüp,Câu lạc bộ,Klub
up,Up,فوق,上,アップ,Acima,вверх,Arriba,ขึ้น,yukarı,Lên,Naik
closure,Closure,إغلاق,关闭,閉鎖,Fecho,закрытие,Cierre,การปิด,kapatma,Khép kín,Penutupan
dance,Dance,ارقص,舞蹈,ダンス,Dança,танец,Baile,เต้นรำ,Dans,Nhảy,Menari
beloved,Beloved,الحبيب,心爱,愛されし者,Amado,возлюбленная,Amado,ที่รัก,Sevilen,Yêu dấu,Tercinta
hide_&_seek,Hide & Seek,إخفاء السعي,捉迷藏,かくれんぼ,Esconde-esconde,Прятки,Escondite,ซ่อน & ค้นหา,Saklambaç,Ẩn và tìm kiếm,Petak umpet
cartoon,Cartoon,كارتون,动画片,漫画,Desenho animado,Мультфильм,Dibujos animados,การ์ตูน,Karikatür,Hoạt hình,Kartun
fine,Fine,غرامة,精细,良い,Bem,хорошо,Multa,ละเอียด,Kalite,Khỏe,Baik
rush,Rush,سرعه,拉什,ラッシュ,Pressa,порыв,Prisa,วิ่ง,Acele,Vội vàng,Buru-buru
let's_play,Let's Play,هيا بنا لنلعب,让我们玩,遊ぼう,Vamos jogar,Давай сыграем,Vamos a jugar,มาเล่นกัน,Hadi oynayalım,Hãy chơi,Mari main
bamboo,Bamboo,بامبو,竹,竹,Bambu,бамбуковый,Bambú,ไม้ไผ่,Bambu,Tre,Bambu
